junction_id	chrom	start	end	strand	mapped_reads	sample_id	sample_type	junction_origin	normal_source	reading_frame
chr22:30511856:30515369:-	chr22	30511855	30515369	-	7	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:30511856:30522399:-	chr22	30511855	30522399	-	6	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:30566737:30567399:+	chr22	30566736	30567399	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:30629537:30638657:-	chr22	30629536	30638657	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:30676324:30760456:+	chr22	30676323	30760456	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:30697422:30716580:+	chr22	30697421	30716580	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:30786119:30786893:+	chr22	30786118	30786893	+	3	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:30793159:30794130:+	chr22	30793158	30794130	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:30926587:30934552:+	chr22	30926586	30934552	+	4	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:30948617:31060233:-	chr22	30948616	31060233	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31027146:31027673:+	chr22	31027145	31027673	+	4	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:31048654:31305196:+	chr22	31048653	31305196	+	5	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31061180:31073102:-	chr22	31061179	31073102	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31114840:31189000:-	chr22	31114839	31189000	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31152548:31228771:-	chr22	31152547	31228771	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31215772:31263642:-	chr22	31215771	31263642	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31215772:31392277:-	chr22	31215771	31392277	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31292896:31313073:+	chr22	31292895	31313073	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31294208:31295106:+	chr22	31294207	31295106	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31319262:31319643:+	chr22	31319261	31319643	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31330439:31401925:-	chr22	31330438	31401925	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31371559:31372199:-	chr22	31371558	31372199	-	3	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:31418651:31418824:+	chr22	31418650	31418824	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31472518:31510682:-	chr22	31472517	31510682	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31485740:31574994:+	chr22	31485739	31574994	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31501075:31502651:+	chr22	31501074	31502651	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31513666:31524882:-	chr22	31513665	31524882	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31571456:31581431:+	chr22	31571455	31581431	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31592070:31592952:-	chr22	31592069	31592952	-	4	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:31592246:31592952:-	chr22	31592245	31592952	-	3	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:31592522:31592952:-	chr22	31592521	31592952	-	4	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:31592698:31592952:-	chr22	31592697	31592952	-	3	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:31593191:31593579:-	chr22	31593190	31593579	-	3	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:31672738:31725787:+	chr22	31672737	31725787	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31673156:31675924:+	chr22	31673155	31675924	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31687142:31705477:+	chr22	31687141	31705477	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31709179:31767667:+	chr22	31709178	31767667	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31735928:31751836:-	chr22	31735927	31751836	-	4	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:31768023:31811347:+	chr22	31768022	31811347	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31770138:31792973:+	chr22	31770137	31792973	+	5	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31786179:31800898:-	chr22	31786178	31800898	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31862178:31940333:+	chr22	31862177	31940333	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31881238:31940333:+	chr22	31881237	31940333	+	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31913975:31921953:+	chr22	31913974	31921953	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31915250:31969810:+	chr22	31915249	31969810	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:31955460:31979444:-	chr22	31955459	31979444	-	13	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:31981364:32070420:-	chr22	31981363	32070420	-	14	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:32049511:32056152:-	chr22	32049510	32056152	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:32997902:33043422:-	chr22	32997901	33043422	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:33139220:33155155:+	chr22	33139219	33155155	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:33332396:33349054:+	chr22	33332395	33349054	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:33371809:33383385:-	chr22	33371808	33383385	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:33905318:33913657:-	chr22	33905317	33913657	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:33916068:33962743:+	chr22	33916067	33962743	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:34033949:34232549:-	chr22	34033948	34232549	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:34051962:34060924:+	chr22	34051961	34060924	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:34366929:34387643:+	chr22	34366928	34387643	+	9	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:34802745:34851237:+	chr22	34802744	34851237	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:34848977:34877299:-	chr22	34848976	34877299	-	6	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:35071778:35255215:+	chr22	35071777	35255215	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:35197548:35371358:-	chr22	35197547	35371358	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:35199836:35371358:-	chr22	35199835	35371358	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:35232163:35246324:+	chr22	35232162	35246324	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:35252991:35272792:+	chr22	35252990	35272792	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:35288999:35289317:+	chr22	35288998	35289317	+	4	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:35363122:35363442:-	chr22	35363121	35363442	-	3	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:35363589:35382888:-	chr22	35363588	35382888	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:35373631:35457329:-	chr22	35373630	35457329	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:35374794:35457329:-	chr22	35374793	35457329	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:35461509:35466508:-	chr22	35461508	35466508	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:35559366:35577627:+	chr22	35559365	35577627	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:35566691:35589796:+	chr22	35566690	35589796	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:36039071:36070724:+	chr22	36039070	36070724	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:36081707:36106690:-	chr22	36081706	36106690	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:36082232:36088202:-	chr22	36082231	36088202	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:36082351:36089024:+	chr22	36082350	36089024	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:36343484:36499416:+	chr22	36343483	36499416	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:36372393:36412071:+	chr22	36372392	36412071	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:36389468:36412833:+	chr22	36389467	36412833	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:36393643:36394197:-	chr22	36393642	36394197	-	7	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:36400778:36405037:-	chr22	36400777	36405037	-	4	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:36414188:36414972:+	chr22	36414187	36414972	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:36418520:36418939:+	chr22	36418519	36418939	+	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
chr22:36441870:36442150:-	chr22	36441869	36442150	-	4	SRR9143066_test	Primary Tumor	normal_shared	Solid Tissue Normal	
chr22:36460047:36460918:+	chr22	36460046	36460918	+	3	SRR9143066_test	Primary Tumor	gtex_pantissue_shared		
chr22:36464724:36479562:-	chr22	36464723	36479562	-	3	SRR9143066_test	Primary Tumor	tumor_exclusive		
