junction_id	fate	reads	donor_in_repeat	acceptor_in_repeat	repeat_classes
chr22:25653820:25693923:-	lost	1	True	True	SINE
chr22:25664652:25693923:-	lost	1	True	True	SINE
chr22:26122560:26151012:+	lost	1	True	True	SINE
chr22:26640471:26654944:-	lost	3	True	True	SINE
chr22:26834404:26902995:-	lost	1	True	True	SINE
chr22:26841975:26902995:-	lost	1	True	True	SINE
chr22:26894398:26931402:+	lost	1	True	True	SINE
chr22:26907713:26931402:+	lost	1	True	True	SINE
chr22:28165410:28193027:+	lost	1	True	True	LINE
chr22:28165410:28210874:+	lost	1	True	True	LINE
chr22:28520976:28536546:-	lost	1	True	True	SINE
chr22:28537079:28595710:+	lost	1	True	True	SINE
chr22:28674607:28724192:+	lost	2	True	True	SINE
chr22:28912897:28928728:-	lost	3	True	True	SINE
chr22:29007845:29042862:-	lost	2	True	True	SINE
chr22:29194781:29234972:+	lost	1	True	True	SINE
chr22:29194781:29235134:+	lost	1	True	True	SINE
chr22:29515278:29519869:+	lost	1	True	True	SINE
chr22:29566630:29587340:-	lost	1	True	True	SINE
chr22:29566929:29587340:-	lost	1	True	True	SINE
chr22:29568600:29587340:-	lost	1	True	True	SINE
chr22:29622890:29628866:+	lost	2	True	True	SINE
chr22:30367974:30411728:-	lost	2	True	True	SINE
chr22:30522279:30531493:+	lost	1	True	True	SINE
chr22:30657395:30669517:+	lost	1	True	True	SINE
chr22:30714699:30791408:-	lost	1	True	True	SINE
chr22:30714699:30796587:-	lost	1	True	True	SINE
chr22:30846429:30896297:+	lost	1	True	True	SINE
chr22:30858424:30896297:+	lost	1	True	True	SINE
chr22:31027324:31027451:+	lost	1	True	True	Retroposon
chr22:31027324:31027723:+	lost	1	True	True	Retroposon
chr22:31027452:31027723:+	lost	1	True	True	Retroposon
chr22:31027549:31027723:+	lost	1	True	True	Retroposon
chr22:31027674:31027723:+	lost	1	True	True	Retroposon
chr22:31109414:31152997:+	lost	1	True	True	SINE
chr22:31128959:31152997:+	lost	1	True	True	SINE
chr22:31202708:31287425:+	lost	1	True	True	SINE
chr22:31214891:31287425:+	lost	1	True	True	SINE
chr22:31356864:31387289:-	lost	1	True	True	SINE
chr22:31374213:31380327:+	lost	1	True	True	SINE
chr22:31376103:31380327:+	lost	1	True	True	SINE
chr22:31465093:31486849:+	lost	1	True	True	SINE
chr22:31466182:31486849:+	lost	1	True	True	SINE
chr22:31469933:31486849:+	lost	1	True	True	SINE
chr22:31564113:31648462:+	lost	1	True	True	SINE
chr22:31663237:31670500:-	lost	1	True	True	SINE
chr22:31837939:31888487:+	lost	1	True	True	SINE
chr22:32453846:32496243:+	lost	1	True	True	SINE
chr22:32597447:32598716:-	lost	1	True	True	SINE
chr22:32790508:32845284:-	lost	1	True	True	SINE
chr22:34087619:34091959:-	lost	1	True	True	SINE
chr22:34132915:34137348:-	lost	1	True	True	SINE
chr22:34247432:34274877:-	lost	1	True	True	SINE
chr22:35376585:35382598:+	lost	1	True	True	SINE
chr22:35377534:35382598:+	lost	1	True	True	SINE
chr22:35974546:35996463:+	lost	1	True	True	SINE
chr22:35976900:35996540:+	lost	1	True	True	SINE
chr22:35981501:35996463:+	lost	1	True	True	SINE
chr22:36045796:36093002:-	lost	1	True	True	SINE
chr22:36054418:36093002:-	lost	1	True	True	SINE
chr22:36060330:36093002:-	lost	1	True	True	SINE
chr22:36310125:36338694:-	lost	1	True	True	SINE
chr22:36398553:36403174:+	lost	1	True	True	SINE
chr22:36398553:36403320:+	lost	1	True	True	SINE
chr22:36402057:36458816:+	lost	1	True	True	SINE
chr22:36414115:36458816:+	lost	1	True	True	SINE
chr22:36439158:36460041:-	lost	1	True	True	SINE
chr22:36788984:36825550:+	lost	1	True	True	SINE
chr22:36792116:36825550:+	lost	1	True	True	SINE
chr22:36984030:37038328:+	lost	2	True	True	SINE
chr22:37251216:37328088:-	lost	1	True	True	SINE
chr22:37252118:37328088:-	lost	1	True	True	SINE
chr22:37583965:37624337:-	lost	1	True	True	SINE
chr22:37597945:37624337:-	lost	1	True	True	SINE
chr22:37617904:37649565:-	lost	1	True	True	SINE
chr22:37821478:37873070:-	lost	1	True	True	SINE
chr22:37824158:37873070:-	lost	1	True	True	SINE
chr22:37850416:37868724:-	lost	2	True	True	SINE
chr22:37851748:37868724:-	lost	2	True	True	SINE
chr22:38105554:38139645:+	lost	1	True	True	SINE
chr22:38312053:38341449:-	lost	1	True	True	SINE
chr22:38414839:38520439:-	lost	1	True	True	SINE
chr22:38420342:38520439:-	lost	1	True	True	SINE
chr22:38458284:38520439:-	lost	1	True	True	SINE
chr22:38616596:38674124:+	lost	1	True	True	SINE
chr22:38621535:38674124:+	lost	1	True	True	SINE
chr22:38977984:39023203:-	lost	1	True	True	SINE
chr22:39029520:39031693:+	lost	1	False	False	.
chr22:39032851:39126181:+	lost	1	True	True	SINE
chr22:39049582:39052073:+	lost	1	False	False	.
chr22:39053232:39126181:+	lost	1	True	True	SINE
chr22:39403877:39407852:-	lost	1	True	True	SINE
chr22:39407718:39407852:-	lost	1	True	True	SINE
chr22:39576024:39621006:-	lost	1	True	True	SINE
chr22:40501213:40501564:-	lost	3	True	True	Retroposon
chr22:40501389:40501564:-	lost	2	False	True	Retroposon
chr22:40591058:40596897:-	lost	1	True	True	SINE
chr22:40600765:40607289:+	lost	1	True	True	SINE
chr22:40799491:40858233:+	lost	1	True	True	SINE
chr22:40810475:40858233:+	lost	1	True	True	SINE
chr22:40881141:40884424:+	lost	1	True	True	SINE
chr22:41004826:41059145:+	lost	1	True	True	SINE
chr22:41007502:41059145:+	lost	1	True	True	SINE
chr22:41056079:41070062:-	lost	1	True	True	SINE
chr22:41084537:41120044:-	lost	1	True	True	SINE
chr22:41087253:41120044:-	lost	1	True	True	SINE
chr22:41095330:41146259:+	lost	1	True	True	SINE
chr22:41107796:41146259:+	lost	1	True	True	SINE
chr22:41202873:41254757:+	lost	1	True	True	SINE
chr22:41203523:41221980:-	lost	1	True	True	SINE
chr22:41207914:41221980:-	lost	1	True	True	SINE
chr22:41214798:41254757:+	lost	1	True	True	SINE
chr22:41309227:41313328:+	lost	3	True	True	SINE
chr22:41309243:41322418:-	lost	1	True	True	SINE
chr22:41310982:41313328:+	lost	3	True	True	SINE
chr22:41310998:41322418:-	lost	2	True	True	SINE
chr22:41645237:41647516:+	lost	1	True	True	SINE
chr22:41646239:41647516:+	lost	1	True	True	SINE
chr22:41700523:41788220:+	lost	1	True	True	SINE
chr22:41715628:41721476:-	lost	2	True	True	SINE
chr22:41716883:41788220:+	lost	1	True	True	SINE
chr22:41719215:41721476:-	lost	1	True	True	SINE
chr22:41721012:41721476:-	lost	1	True	True	SINE
chr22:41850972:41860037:-	lost	2	True	True	SINE
chr22:42098756:42133689:+	lost	1	True	True	SINE
chr22:42447861:42453542:+	lost	2	True	True	SINE
chr22:42449928:42453542:+	lost	2	True	True	SINE
chr22:42565557:42605359:-	lost	1	True	True	SINE
chr22:42578393:42605359:-	lost	1	True	True	SINE
chr22:42727915:42782435:-	lost	1	True	True	SINE
chr22:42737360:42782435:-	lost	1	True	True	SINE
chr22:42839386:42864101:+	lost	1	True	True	SINE
chr22:42919632:42949016:+	lost	1	True	True	SINE
chr22:42925339:42949016:+	lost	1	True	True	SINE
chr22:43114514:43150070:+	lost	1	True	True	SINE
chr22:43114514:43154568:+	lost	1	True	True	SINE
chr22:43146134:43196837:+	lost	1	True	True	SINE
chr22:43185087:43196837:+	lost	1	True	True	SINE
chr22:43384046:43392064:+	lost	1	True	True	SINE
chr22:43598211:43641519:+	lost	1	True	True	SINE
chr22:43779615:43784751:-	lost	1	True	True	SINE
chr22:43857980:43909748:+	lost	1	True	True	SINE
chr22:43857980:43915187:+	lost	1	True	True	SINE
chr22:43984544:44013863:-	lost	1	True	True	SINE
chr22:44055516:44059227:+	lost	1	True	True	SINE
chr22:44058736:44059227:+	lost	1	True	True	SINE
chr22:44096301:44128981:+	lost	1	True	True	SINE
chr22:44688320:44741818:+	lost	1	True	True	SINE
chr22:44691704:44741812:+	lost	1	True	True	SINE
chr22:44734059:44821216:+	lost	2	True	True	SINE
chr22:44758236:44821216:+	lost	2	True	True	SINE
chr22:44787581:44827578:+	lost	1	True	True	SINE
chr22:44788630:44827578:+	lost	1	True	True	SINE
chr22:44800342:44827578:+	lost	1	True	True	SINE
chr22:44974344:44983038:+	lost	2	True	True	SINE
chr22:45019768:45066093:+	lost	1	True	True	SINE
chr22:45028181:45066093:+	lost	1	True	True	SINE
chr22:45081490:45110646:-	lost	2	True	True	SINE
chr22:45088410:45110646:-	lost	2	True	True	SINE
chr22:45347690:45381031:+	lost	1	True	True	SINE
chr22:45347690:45438272:+	lost	1	True	True	SINE
chr22:45519452:45569469:-	lost	1	True	True	SINE
chr22:45520001:45569469:-	lost	1	True	True	SINE
chr22:45537450:45569469:-	lost	1	True	True	SINE
chr22:46156684:46210530:-	lost	1	True	True	SINE
chr22:46300052:46347598:-	lost	1	True	True	SINE
chr22:46408420:46491722:-	lost	1	True	True	SINE
chr22:46415238:46491722:-	lost	1	True	True	SINE
chr22:46435518:46455465:+	lost	1	True	True	SINE
chr22:46468316:46498178:+	lost	1	True	True	SINE
chr22:46486092:46488947:-	lost	1	True	True	SINE
chr22:46486092:46491551:-	lost	1	True	True	SINE
chr22:46529590:46564887:+	lost	1	True	True	SINE
chr22:46623629:46625092:-	lost	1	True	True	SINE
chr22:47975125:47980580:-	lost	1	True	True	SINE
chr22:48388876:48482291:+	lost	1	True	True	SINE
chr22:48730322:48827159:+	lost	1	True	True	SINE
chr22:48764310:48827159:+	lost	1	True	True	SINE
chr22:49471821:49525395:-	lost	2	True	True	SINE
chr22:49479484:49525395:-	lost	2	True	True	SINE
chr22:49481245:49525395:-	lost	2	True	True	SINE
chr22:49497848:49525185:-	lost	1	True	True	SINE
chr22:49497848:49537575:-	lost	1	True	True	SINE
chr22:50029526:50078525:+	lost	1	True	True	SINE
chr22:10711002:10744610:+	retained	1	True	True	SINE
chr22:10932545:10959070:-	retained	1	True	False	LINE
chr22:11034106:11064396:+	retained	1	True	True	SINE
chr22:11139905:11141398:-	retained	1	True	True	SINE
chr22:11844291:11874135:-	retained	1	True	True	SINE
chr22:12106595:12110949:-	retained	1	True	True	LINE
chr22:12110442:12190467:+	retained	1	True	True	LINE
chr22:12371542:12390227:+	retained	1	True	True	LINE,Satellite
chr22:12545364:12549851:+	retained	1	True	True	LINE
chr22:12598134:12598798:+	retained	2	True	True	LTR
chr22:12620939:12624241:+	retained	1	False	False	.
chr22:12624334:12625316:+	retained	1	False	False	.
chr22:12806405:12878497:+	retained	1	True	True	LINE
chr22:15244442:15249902:+	retained	1	True	True	SINE
chr22:15399615:15404022:-	retained	1	True	True	Satellite
chr22:15489450:15549042:+	retained	2	True	True	SINE
chr22:15498127:15518504:+	retained	1	True	True	LINE
chr22:15574578:15598300:+	retained	1	True	True	SINE
chr22:15587453:15594186:+	retained	1	True	True	SINE
chr22:15615089:15713735:+	retained	1	True	True	SINE
chr22:15627414:15627646:-	retained	1	False	False	.
chr22:15830273:15830599:-	retained	1	True	True	SINE
chr22:15967619:16026246:+	retained	1	True	True	LINE,Satellite
chr22:16067107:16072521:+	retained	1	True	True	LINE
chr22:16067264:16093565:-	retained	1	True	True	LINE
chr22:16118053:16138449:-	retained	1	True	True	SINE
chr22:16387840:16390135:+	retained	1	False	False	.
chr22:16450891:16467320:-	retained	1	True	True	LINE
chr22:16451812:16454494:-	retained	2	True	True	LINE
chr22:16454319:16515913:-	retained	2	True	True	LINE
chr22:16480749:16481148:+	retained	3	True	True	LINE
chr22:16508786:16537809:+	retained	1	True	True	SINE
chr22:16533844:16558162:+	retained	1	True	True	SINE
chr22:16657662:16778632:-	retained	1	True	True	SINE
chr22:16663722:16709953:-	retained	1	True	True	LINE
chr22:16703339:16761972:+	retained	1	True	True	SINE
chr22:16757858:16799405:-	retained	1	True	True	SINE
chr22:16846970:16942723:-	retained	1	True	True	LINE
chr22:16921597:16933681:+	retained	1	False	False	.
chr22:16961348:16975239:-	retained	1	False	True	LINE
chr22:17075970:17132975:-	retained	1	True	True	SINE
chr22:17078590:17089667:+	retained	1	True	True	SINE
chr22:17082824:17096655:+	retained	1	True	True	SINE
chr22:17123997:17157360:+	retained	1	True	True	SINE
chr22:17171209:17230934:+	retained	1	True	True	SINE
chr22:17173192:17188619:-	retained	1	True	True	SINE
chr22:17182023:17182603:-	retained	2	False	False	.
chr22:17183166:17210272:-	retained	1	True	True	SINE
chr22:17188754:17227865:-	retained	1	True	True	SINE
chr22:17200054:17251772:+	retained	1	True	True	SINE
chr22:17200631:17238513:+	retained	1	True	True	SINE
chr22:17202212:17245809:-	retained	1	True	True	SINE
chr22:17208211:17273755:+	retained	1	True	True	SINE
chr22:17208347:17241359:-	retained	3	True	True	SINE
chr22:17244868:17284141:+	retained	1	True	True	SINE
chr22:17249049:17259578:-	retained	1	True	True	SINE
chr22:17249750:17327268:+	retained	1	True	True	SINE
chr22:17276600:17279806:-	retained	1	True	True	SINE
chr22:17296626:17303306:+	retained	1	True	True	SINE
chr22:17308425:17343345:+	retained	1	True	True	SINE
chr22:17308756:17335589:+	retained	1	True	True	SINE
chr22:17316640:17325277:-	retained	1	True	True	SINE
chr22:17326790:17335589:+	retained	1	True	True	SINE
chr22:17328765:17346108:+	retained	2	True	True	SINE
chr22:17383824:17409291:-	retained	1	True	True	SINE
chr22:17471746:17517089:+	retained	1	True	True	SINE
chr22:17471746:17532931:+	retained	1	True	True	SINE
chr22:17481107:17537755:+	retained	1	True	True	SINE
chr22:17481129:17495647:+	retained	1	True	True	SINE
chr22:17493060:17499077:-	retained	1	True	True	SINE
chr22:17497182:17535037:+	retained	1	True	True	SINE
chr22:17503911:17537857:+	retained	1	True	True	SINE
chr22:17517081:17609361:-	retained	1	True	True	SINE
chr22:17517110:17568793:-	retained	1	True	True	SINE
chr22:17519873:17533798:-	retained	1	True	True	SINE
chr22:17532877:17609319:-	retained	1	True	True	SINE
chr22:17557398:17565329:-	retained	1	True	True	SINE
chr22:17565797:17572414:+	retained	1	True	True	SINE
chr22:17573105:17609084:-	retained	1	True	True	SINE
chr22:17574170:17599512:+	retained	1	True	True	SINE
chr22:17578775:17661865:-	retained	1	True	True	SINE
chr22:17595278:17603180:-	retained	1	True	True	SINE
chr22:17630827:17642394:+	retained	1	True	True	SINE
chr22:17644608:17737227:+	retained	1	True	True	SINE
chr22:17651525:17669175:+	retained	1	True	True	SINE
chr22:17652582:17685368:+	retained	1	True	True	SINE
chr22:17659287:17662400:-	retained	1	True	True	SINE
chr22:17662723:17736360:+	retained	2	True	True	SINE
chr22:17676367:17723836:+	retained	1	True	True	SINE
chr22:17697179:17710320:-	retained	1	True	True	SINE
chr22:17698599:17723807:-	retained	1	True	True	SINE
chr22:17710646:17713909:+	retained	1	True	True	SINE
chr22:17710694:17720984:+	retained	1	True	True	SINE
chr22:17720484:17986033:+	retained	1	True	True	SINE
chr22:17754853:17809976:-	retained	1	True	True	SINE
chr22:17756671:17762971:+	retained	1	True	True	SINE
chr22:17759346:17760232:+	retained	1	True	True	SINE
chr22:17763371:17771226:+	retained	1	True	True	SINE
chr22:17798963:17843457:+	retained	1	True	False	SINE
chr22:17839416:17862418:-	retained	1	True	True	SINE
chr22:17876888:17877067:+	retained	1	False	False	.
chr22:17887436:17889033:-	retained	1	False	False	.
chr22:17895411:17896245:-	retained	1	False	False	.
chr22:17897359:17937598:+	retained	1	True	True	SINE
chr22:17901529:17909383:+	retained	1	True	True	SINE
chr22:17908543:17958804:+	retained	1	True	True	SINE
chr22:17935783:18014488:-	retained	1	True	False	LINE
chr22:17937451:17948996:+	retained	1	True	True	SINE
chr22:17943395:17950567:-	retained	1	True	True	SINE
chr22:17948817:18007826:+	retained	1	True	True	SINE
chr22:17959293:17978796:+	retained	1	True	True	SINE
chr22:17970945:18067052:+	retained	1	True	True	SINE
chr22:17978797:18049409:+	retained	1	True	True	SINE
chr22:17988711:18045839:-	retained	2	True	True	SINE
chr22:18014868:18018596:-	retained	1	True	True	SINE
chr22:18047894:18051803:-	retained	1	True	True	SINE
chr22:18052920:18052969:+	retained	1	True	True	LTR
chr22:18052945:18053102:+	retained	1	True	True	LTR
chr22:18053044:18053203:-	retained	1	True	True	LTR
chr22:18057524:18061956:-	retained	2	True	True	SINE
chr22:18064382:18097818:+	retained	1	True	True	SINE
chr22:18089856:18104354:-	retained	1	True	True	SINE
chr22:18091402:18150734:+	retained	2	True	True	SINE
chr22:18093278:18093587:-	retained	1	False	False	.
chr22:18102871:18137413:+	retained	1	True	True	SINE
chr22:18153568:18160912:+	retained	1	True	True	SINE
chr22:18157821:18160171:+	retained	1	False	False	.
chr22:18396704:18415864:+	retained	1	True	True	SINE
chr22:18503563:18509611:-	retained	1	True	True	SINE
chr22:18505362:18542249:-	retained	1	True	True	SINE
chr22:18509047:18570234:-	retained	1	True	True	SINE
chr22:18524961:18531291:+	retained	1	True	True	SINE
chr22:18558614:18616572:+	retained	1	False	True	SINE
chr22:18844128:18850689:-	retained	1	True	True	SINE
chr22:18894595:18924274:+	retained	1	True	True	SINE,Satellite
chr22:18987491:19066275:-	retained	1	True	True	SINE
chr22:18987552:19051124:+	retained	1	True	True	SINE
chr22:19007764:19077001:+	retained	1	True	True	SINE
chr22:19021084:19021547:+	retained	1	True	True	SINE
chr22:19066752:19260513:-	retained	1	False	True	SINE
chr22:19099487:19108339:+	retained	1	True	True	SINE
chr22:19099500:19154157:-	retained	1	True	True	SINE
chr22:19105198:19112147:-	retained	1	True	True	SINE
chr22:19107526:19112163:-	retained	1	False	True	SINE
chr22:19152418:19247703:+	retained	1	True	True	SINE
chr22:19156874:19250648:+	retained	1	True	True	SINE
chr22:19161396:19217751:+	retained	1	True	True	SINE
chr22:19176694:19176845:-	retained	1	False	False	.
chr22:19188864:19190206:-	retained	1	True	True	SINE
chr22:19206654:19256239:-	retained	1	True	True	SINE
chr22:19230491:19249262:+	retained	1	True	True	SINE
chr22:19253757:19255084:+	retained	1	True	True	LINE,SINE
chr22:19268824:19280547:+	retained	1	True	True	SINE
chr22:19271876:19284429:+	retained	1	True	True	SINE
chr22:19310339:19317529:-	retained	1	True	True	SINE
chr22:19316481:19317606:-	retained	1	True	True	SINE
chr22:19326956:19334657:+	retained	1	True	True	SINE
chr22:19329198:19393500:+	retained	1	True	True	SINE
chr22:19339422:19369718:+	retained	1	True	True	SINE
chr22:19361932:19375630:-	retained	1	False	False	.
chr22:19362704:19370386:+	retained	1	True	True	SINE
chr22:19374370:19439633:-	retained	1	True	True	SINE
chr22:19383706:19385520:-	retained	1	False	False	.
chr22:19394510:19396786:-	retained	1	False	False	.
chr22:19425947:19476943:+	retained	1	True	True	SINE
chr22:19437803:19532188:-	retained	1	True	True	SINE
chr22:19450745:19454748:-	retained	2	False	False	.
chr22:19456635:19456852:-	retained	1	False	False	.
chr22:19456919:19458070:-	retained	1	True	False	LINE
chr22:19458140:19465201:-	retained	1	False	False	.
chr22:19466689:19506792:+	retained	1	True	True	SINE
chr22:19486820:19490517:+	retained	1	True	True	SINE
chr22:19518910:19520480:+	retained	2	False	False	.
chr22:19530288:19547926:+	retained	1	True	True	SINE
chr22:19547640:19561694:+	retained	1	True	True	SINE
chr22:19564791:19587510:+	retained	1	True	True	LTR,SINE
chr22:19582261:19583234:-	retained	1	True	True	SINE
chr22:19586518:19652490:+	retained	1	True	True	SINE
chr22:19614226:19624943:+	retained	1	True	True	SINE
chr22:19640604:19860417:-	retained	1	True	True	SINE
chr22:19659426:19703622:+	retained	1	False	True	SINE
chr22:19670607:19676904:+	retained	1	True	True	SINE
chr22:19877235:19878089:-	retained	1	False	False	.
chr22:19931766:19945928:+	retained	1	True	True	SINE
chr22:19940017:20023954:+	retained	1	True	True	SINE
chr22:19962816:19963565:+	retained	1	False	False	.
chr22:19963760:19964167:+	retained	1	False	False	.
chr22:20001607:20042566:-	retained	1	True	True	SINE
chr22:20014158:20041723:+	retained	1	True	True	SINE
chr22:20025342:20030593:-	retained	1	True	True	SINE
chr22:20030442:20065437:+	retained	1	True	True	SINE
chr22:20039504:20093279:-	retained	1	True	True	SINE
chr22:20067355:20069406:+	retained	1	True	True	SINE
chr22:20087322:20089668:+	retained	1	False	False	.
chr22:20113809:20114573:-	retained	1	False	False	.
chr22:20296321:20301484:+	retained	2	True	True	SINE
chr22:20323969:20362803:+	retained	1	True	True	SINE
chr22:20329586:20334866:+	retained	1	True	True	SINE
chr22:20335215:20409907:-	retained	1	True	True	SINE
chr22:20415008:20619273:-	retained	2	True	True	SINE
chr22:20419905:20445695:-	retained	1	True	True	SINE
chr22:20426788:20427536:+	retained	1	True	False	SINE
chr22:20430558:20430689:-	retained	1	False	False	.
chr22:20431538:20431744:-	retained	1	False	False	.
chr22:20468803:20492732:+	retained	1	True	True	SINE
chr22:20476557:20512884:+	retained	2	True	True	SINE
chr22:20513174:20543312:+	retained	1	True	True	SINE
chr22:20515738:20553822:+	retained	1	True	True	SINE
chr22:20525799:20539226:+	retained	1	True	True	SINE
chr22:20527893:20561455:+	retained	1	True	True	SINE
chr22:20535194:20536111:+	retained	1	True	True	SINE
chr22:20543355:20962649:+	retained	2	True	True	SINE
chr22:20553175:20554935:+	retained	1	False	False	.
chr22:20583394:20584358:+	retained	1	False	False	.
chr22:20584426:20584854:+	retained	1	False	False	.
chr22:20601327:20617901:+	retained	2	True	True	SINE
chr22:20614131:20617162:+	retained	1	True	True	SINE
chr22:20619579:20619985:+	retained	1	True	True	SINE
chr22:20624841:20628164:-	retained	1	True	True	SINE
chr22:20643452:20681066:+	retained	1	True	True	SINE
chr22:20682082:20700464:-	retained	1	True	True	SINE
chr22:20687067:20743823:+	retained	2	True	True	SINE
chr22:20688544:20730800:-	retained	1	True	True	SINE
chr22:20695951:20737733:+	retained	1	False	True	SINE
chr22:20722269:20730356:-	retained	1	True	True	SINE
chr22:20730366:20738164:-	retained	1	True	False	SINE
chr22:20731699:20806438:+	retained	1	True	True	SINE
chr22:20756331:20801134:-	retained	1	True	True	SINE
chr22:20769544:20771297:-	retained	1	True	True	SINE
chr22:20799767:20801972:-	retained	1	False	False	.
chr22:20800979:20861525:-	retained	1	True	True	SINE
chr22:20808468:20811887:-	retained	1	True	True	SINE
chr22:20810247:20841955:-	retained	1	True	True	SINE
chr22:20817638:20874477:+	retained	1	True	True	SINE
chr22:20821687:20823008:+	retained	1	True	True	SINE
chr22:20839127:20848141:+	retained	1	True	True	SINE
chr22:20860261:20909803:+	retained	1	True	True	SINE
chr22:20879194:20915278:-	retained	1	True	True	SINE
chr22:20897149:20955093:+	retained	1	True	True	SINE
chr22:20900714:20914237:+	retained	1	True	True	SINE
chr22:20901014:20910995:+	retained	1	True	True	SINE
chr22:20933503:20959413:-	retained	1	True	True	SINE
chr22:20934245:20949710:+	retained	1	False	False	.
chr22:20970401:21007289:-	retained	1	True	True	SINE
chr22:21036160:21041910:+	retained	1	True	True	SINE
chr22:21039089:21079956:-	retained	1	True	True	SINE
chr22:21039531:21082011:-	retained	2	True	True	SINE
chr22:21081609:21128371:+	retained	1	True	True	SINE
chr22:21082053:21092081:+	retained	1	True	True	SINE
chr22:21104631:21107053:-	retained	1	True	True	LINE,SINE
